year,coin,metal,weight_ozt,fineness,diameter_mm,thickness_mm,currency,denomination,variaiton
2015,eagle,gold,1,.9167,32.7,2.87,USD,50,
2015,eagle,gold,.5,.9167,27,2.24,USD,25,
2015,eagle,gold,.25,.9167,22,1.83,USD,10,
2015,eagle,gold,.1,.9167,16.5,1.19,USD,5,
2015,eagle,silver,1,.999,40.6,2.98,USD,1,
2014,eagle,gold,1,.9167,32.7,2.87,USD,50,
2014,eagle,gold,.5,.9167,27,2.24,USD,25,
2014,eagle,gold,.25,.9167,22,1.83,USD,10,
2014,eagle,gold,.1,.9167,16.5,1.19,USD,5,
2014,eagle,silver,1,.999,40.6,2.98,USD,1,
2013,eagle,gold,1,.9167,32.7,2.87,USD,50,
2013,eagle,gold,.5,.9167,27,2.24,USD,25,
2013,eagle,gold,.25,.9167,22,1.83,USD,10,
2013,eagle,gold,.1,.9167,16.5,1.19,USD,5,
2013,eagle,silver,1,.999,40.6,2.98,USD,1,
2012,eagle,gold,1,.9167,32.7,2.87,USD,50,
2012,eagle,gold,.5,.9167,27,2.24,USD,25,
2012,eagle,gold,.25,.9167,22,1.83,USD,10,
2012,eagle,gold,.1,.9167,16.5,1.19,USD,5,
2012,eagle,silver,1,.999,40.6,2.98,USD,1,
2011,eagle,gold,1,.9167,32.7,2.87,USD,50,
2011,eagle,gold,.5,.9167,27,2.24,USD,25,
2011,eagle,gold,.25,.9167,22,1.83,USD,10,
2011,eagle,gold,.1,.9167,16.5,1.19,USD,5,
2011,eagle,silver,1,.999,40.6,2.98,USD,1,
2010,eagle,gold,1,.9167,32.7,2.87,USD,50,
2010,eagle,gold,.5,.9167,27,2.24,USD,25,
2010,eagle,gold,.25,.9167,22,1.83,USD,10,
2010,eagle,gold,.1,.9167,16.5,1.19,USD,5,
2010,eagle,silver,1,.999,40.6,2.98,USD,1,
2009,eagle,gold,1,.9167,32.7,2.87,USD,50,
2009,eagle,gold,.5,.9167,27,2.24,USD,25,
2009,eagle,gold,.25,.9167,22,1.83,USD,10,
2009,eagle,gold,.1,.9167,16.5,1.19,USD,5,
2009,eagle,silver,1,.999,40.6,2.98,USD,1,
2008,eagle,gold,1,.9167,32.7,2.87,USD,50,
2008,eagle,gold,.5,.9167,27,2.24,USD,25,
2008,eagle,gold,.25,.9167,22,1.83,USD,10,
2008,eagle,gold,.1,.9167,16.5,1.19,USD,5,
2008,eagle,silver,1,.999,40.6,2.98,USD,1,
2007,eagle,gold,1,.9167,32.7,2.87,USD,50,
2007,eagle,gold,.5,.9167,27,2.24,USD,25,
2007,eagle,gold,.25,.9167,22,1.83,USD,10,
2007,eagle,gold,.1,.9167,16.5,1.19,USD,5,
2007,eagle,silver,1,.999,40.6,2.98,USD,1,
2006,eagle,gold,1,.9167,32.7,2.87,USD,50,
2006,eagle,gold,.5,.9167,27,2.24,USD,25,
2006,eagle,gold,.25,.9167,22,1.83,USD,10,
2006,eagle,gold,.1,.9167,16.5,1.19,USD,5,
2006,eagle,silver,1,.999,40.6,2.98,USD,1,
2005,eagle,gold,1,.9167,32.7,2.87,USD,50,
2005,eagle,gold,.5,.9167,27,2.24,USD,25,
2005,eagle,gold,.25,.9167,22,1.83,USD,10,
2005,eagle,gold,.1,.9167,16.5,1.19,USD,5,
2005,eagle,silver,1,.999,40.6,2.98,USD,1,
2004,eagle,gold,1,.9167,32.7,2.87,USD,50,
2004,eagle,gold,.5,.9167,27,2.24,USD,25,
2004,eagle,gold,.25,.9167,22,1.83,USD,10,
2004,eagle,gold,.1,.9167,16.5,1.19,USD,5,
2004,eagle,silver,1,.999,40.6,2.98,USD,1,
2003,eagle,gold,1,.9167,32.7,2.87,USD,50,
2003,eagle,gold,.5,.9167,27,2.24,USD,25,
2003,eagle,gold,.25,.9167,22,1.83,USD,10,
2003,eagle,gold,.1,.9167,16.5,1.19,USD,5,
2003,eagle,silver,1,.999,40.6,2.98,USD,1,
2002,eagle,gold,1,.9167,32.7,2.87,USD,50,
2002,eagle,gold,.5,.9167,27,2.24,USD,25,
2002,eagle,gold,.25,.9167,22,1.83,USD,10,
2002,eagle,gold,.1,.9167,16.5,1.19,USD,5,
2002,eagle,silver,1,.999,40.6,2.98,USD,1,
2001,eagle,gold,1,.9167,32.7,2.87,USD,50,
2001,eagle,gold,.5,.9167,27,2.24,USD,25,
2001,eagle,gold,.25,.9167,22,1.83,USD,10,
2001,eagle,gold,.1,.9167,16.5,1.19,USD,5,
2001,eagle,silver,1,.999,40.6,2.98,USD,1,
2000,eagle,gold,1,.9167,32.7,2.87,USD,50,
2000,eagle,gold,.5,.9167,27,2.24,USD,25,
2000,eagle,gold,.25,.9167,22,1.83,USD,10,
2000,eagle,gold,.1,.9167,16.5,1.19,USD,5,
2000,eagle,silver,1,.999,40.6,2.98,USD,1,
1999,eagle,gold,1,.9167,32.7,2.87,USD,50,
1999,eagle,gold,.5,.9167,27,2.24,USD,25,
1999,eagle,gold,.25,.9167,22,1.83,USD,10,
1999,eagle,gold,.1,.9167,16.5,1.19,USD,5,
1999,eagle,silver,1,.999,40.6,2.98,USD,1,
1998,eagle,gold,1,.9167,32.7,2.87,USD,50,
1998,eagle,gold,.5,.9167,27,2.24,USD,25,
1998,eagle,gold,.25,.9167,22,1.83,USD,10,
1998,eagle,gold,.1,.9167,16.5,1.19,USD,5,
1998,eagle,silver,1,.999,40.6,2.98,USD,1,
1997,eagle,gold,1,.9167,32.7,2.87,USD,50,
1997,eagle,gold,.5,.9167,27,2.24,USD,25,
1997,eagle,gold,.25,.9167,22,1.83,USD,10,
1997,eagle,gold,.1,.9167,16.5,1.19,USD,5,
1997,eagle,silver,1,.999,40.6,2.98,USD,1,
1996,eagle,gold,1,.9167,32.7,2.87,USD,50,
1996,eagle,gold,.5,.9167,27,2.24,USD,25,
1996,eagle,gold,.25,.9167,22,1.83,USD,10,
1996,eagle,gold,.1,.9167,16.5,1.19,USD,5,
1996,eagle,silver,1,.999,40.6,2.98,USD,1,
1995,eagle,gold,1,.9167,32.7,2.87,USD,50,
1995,eagle,gold,.5,.9167,27,2.24,USD,25,
1995,eagle,gold,.25,.9167,22,1.83,USD,10,
1995,eagle,gold,.1,.9167,16.5,1.19,USD,5,
1995,eagle,silver,1,.999,40.6,2.98,USD,1,
1994,eagle,gold,1,.9167,32.7,2.87,USD,50,
1994,eagle,gold,.5,.9167,27,2.24,USD,25,
1994,eagle,gold,.25,.9167,22,1.83,USD,10,
1994,eagle,gold,.1,.9167,16.5,1.19,USD,5,
1994,eagle,silver,1,.999,40.6,2.98,USD,1,
1993,eagle,gold,1,.9167,32.7,2.87,USD,50,
1993,eagle,gold,.5,.9167,27,2.24,USD,25,
1993,eagle,gold,.25,.9167,22,1.83,USD,10,
1993,eagle,gold,.1,.9167,16.5,1.19,USD,5,
1993,eagle,silver,1,.999,40.6,2.98,USD,1,
1992,eagle,gold,1,.9167,32.7,2.87,USD,50,
1992,eagle,gold,.5,.9167,27,2.24,USD,25,
1992,eagle,gold,.25,.9167,22,1.83,USD,10,
1992,eagle,gold,.1,.9167,16.5,1.19,USD,5,
1992,eagle,silver,1,.999,40.6,2.98,USD,1,
1991,eagle,gold,1,.9167,32.7,2.87,USD,50,
1991,eagle,gold,.5,.9167,27,2.24,USD,25,
1991,eagle,gold,.25,.9167,22,1.83,USD,10,
1991,eagle,gold,.1,.9167,16.5,1.19,USD,5,
1991,eagle,silver,1,.999,40.6,2.98,USD,1,
1990,eagle,gold,1,.9167,32.7,2.87,USD,50,
1990,eagle,gold,.5,.9167,27,2.24,USD,25,
1990,eagle,gold,.25,.9167,22,1.83,USD,10,
1990,eagle,gold,.1,.9167,16.5,1.19,USD,5,
1990,eagle,silver,1,.999,40.6,2.98,USD,1,
1989,eagle,gold,1,.9167,32.7,2.87,USD,50,
1989,eagle,gold,.5,.9167,27,2.24,USD,25,
1989,eagle,gold,.25,.9167,22,1.83,USD,10,
1989,eagle,gold,.1,.9167,16.5,1.19,USD,5,
1989,eagle,silver,1,.999,40.6,2.98,USD,1,
1988,eagle,gold,1,.9167,32.7,2.87,USD,50,
1988,eagle,gold,.5,.9167,27,2.24,USD,25,
1988,eagle,gold,.25,.9167,22,1.83,USD,10,
1988,eagle,gold,.1,.9167,16.5,1.19,USD,5,
1988,eagle,silver,1,.999,40.6,2.98,USD,1,
1987,eagle,gold,1,.9167,32.7,2.87,USD,50,
1987,eagle,gold,.5,.9167,27,2.24,USD,25,
1987,eagle,gold,.25,.9167,22,1.83,USD,10,
1987,eagle,gold,.1,.9167,16.5,1.19,USD,5,
1987,eagle,silver,1,.999,40.6,2.98,USD,1,
1986,eagle,gold,1,.9167,32.7,2.87,USD,50,
1986,eagle,gold,.5,.9167,27,2.24,USD,25,
1986,eagle,gold,.25,.9167,22,1.83,USD,10,
1986,eagle,gold,.1,.9167,16.5,1.19,USD,5,
1986,eagle,silver,1,.999,40.6,2.98,USD,1,
2023,peace,silver,.858,.999,38.1,2.4,USD,1,
2021,peace,silver,.858,.999,38.1,2.4,USD,1,
2023,morgan,silver,.858,.999,38.1,2.4,USD,1,
2021,morgan,silver,.858,.999,38.1,2.4,USD,1,
2023,buffalo,gold,1,.9999,32.7,2.95,USD,50,
2022,buffalo,gold,1,.9999,32.7,2.95,USD,50,
2021,buffalo,gold,1,.9999,32.7,2.95,USD,50,
2020,buffalo,gold,1,.9999,32.7,2.95,USD,50,
2019,buffalo,gold,1,.9999,32.7,2.95,USD,50,
2018,buffalo,gold,1,.9999,32.7,2.95,USD,50,
2017,buffalo,gold,1,.9999,32.7,2.95,USD,50,
2016,buffalo,gold,1,.9999,32.7,2.95,USD,50,
2015,buffalo,gold,1,.9999,32.7,2.95,USD,50,
2014,buffalo,gold,1,.9999,32.7,2.95,USD,50,
2013,buffalo,gold,1,.9999,32.7,2.95,USD,50,
2012,buffalo,gold,1,.9999,32.7,2.95,USD,50,
2011,buffalo,gold,1,.9999,32.7,2.95,USD,50,
2010,buffalo,gold,1,.9999,32.7,2.95,USD,50,
2009,buffalo,gold,1,.9999,32.7,2.95,USD,50,
2008,buffalo,gold,1,.9999,32.7,2.95,USD,50,
2008,buffalo,gold,.5,.9999,27,2.24,USD,25,
2008,buffalo,gold,.25,.9999,22,1.83,USD,10,
2008,buffalo,gold,.1,.9999,16.5,1.19,USD,5,
2007,buffalo,gold,1,.9999,32.7,2.95,USD,50,
2006,buffalo,gold,1,.9999,32.7,2.95,USD,50,
